ID;Nome;Ingredientes
1402;Italian Pinwheels;["Mozzarella queijo","pepperoni","oregano deixa","molho de pizza","rolos crescentes","pimenta"]
1403;Carrot Cake;["farinha","refrigerante  canela","sal","ovos","óleo","açúcar"]
1404;Kraut Salad;["chucrute","açúcar","cebola","Aipo","pimenta verde","pimento","vinagre","sal"]
1405;Oriental Rice;["Longo gr�o","manteiga","castanhas de água","cogumelos","cebola","molho de soja","caldo de frango"]
1406;Sweet-Sour Red Cabbage;["Repolho vermelho","vinagre","bacon","açúcar mascavo","farinha","água","vinagre","sal","pimenta","cebola"]
1407;Bananas 'N' Cream Cake;["encurtamento","açúcar","ovos","extrato de baunilha","pur� de bananas maduras","farinha","fermento","bicarbonato de sódio","sal","porcas","nozes","açúcar de confeiteiro"]
1408;Pizza Casserole;["enxuta carne moída","tomates","crosta","queijo mussarela","queijo parmesão"]
1409;Microwave Ham Roll-Ups;["Tater","Queijo su��o","presunto","creme azedo"]
1410;Sausage Dressing;["sausage de porco","aipo","cebola","pão branco","cornbread","tempero de aves","pimenta","caldo de galinha"]
1411;Foolproof Dark Chocolate Fudge;["Chips de chocolate semi-doces","leite condensado","sal","nozes","extrato de baunilha"]
1412;Barbarakuchen(German Lemon Cake);["manteiga","açúcar","ovos","cornstarca","farinha","faring em p�","extrato de limão"]
1413;Hot Dog Casserole;["puffs","doce pickle aprecia","mayonnaise","cebola","mostarda"]
1414;German Chocolate Upside Down Cake;["Bolo de Chocolate","Coco","Nozes","Margarina","Cream Cheese","açúcar"]
1415;Hot Fruit Toddy;["cidra de ma��","açúcar mascavo  canela","cravo inteira","suco de laranja","água","suco de limão","fatias de limão"]
1416;Nikki'S No Bake Cookies;["açúcar","cacau","Leite","manteiga","aveia","baunilha","sal"]
1417;Pumpkin Whip - Lite;["abóbora","baunilha","pizza de pizza spice","n"]
1418;Skewered Chicken In Mustard Dill;["peitos de frango","Peppercorns","cebola","molho de endro","dill"]
1419;Chicken Cheese Ball;["Cream Cheese","Frango espalhado","azeitonas verdes","migalhas de pão italiano"]
1420;Mashed Potato Candy;["batatas","sal","suco de limão","açúcar"]
1421;Red Fox Tomato Pudding;["Tomates","açúcar mascavo","manteiga","sal","branco seco","migalhas de pão"]
1422;Easy Bran Muffins;["farelo","farinha","açúcar mascavo","bicarbonato de sódio","passas","ovo","óleo de cozimento","buttermilk"]
1423;Shrimp Ball;["Queijo creme","camar�o","Bay","r�bano","molho de cocktail"]
1424;Dill Dip;["maionese","creme azedo","salsa","Monde","dill weed"]
1425;Cocido Castellano(Castillian Bean Soup;["Garbanzos completo","Ham Hock","chouri�o","bone","cebola","bacon","vermicelli","outra cebola","tomates","azeite"]
1426;Angel Biscuits;["Farinha","açúcar","Soda","encurtamento","buttermilk","levedura"]
1427;Mexican Nacho Dip;["carne moída","queijo velveeta","ro-tel tomates"]
1428;Cream Of Broccoli Soup;["brócolis","cebola","cenouras","Couve-flor","Aipo","Caldo de frango","farinha","leite","creme de sopa de cogumelos","Leite","queijo cheddar"]
1429;Frozen Fruit Salad;["Cream Cheese","Mayonnaise","Marshmallows","abacaxi","Cocktail de frutas","dream whip"]
1430;Toasted Herb Bread;["pão italiano","Oregano","Queijo parmesão","alho p�","flocos de salsa","manteiga"]
1431;Chicken Casserole;["Frango arroz com sabor","fritadeira","margarina","Aipo","cebola","verde","creme de sopa de cogumelos","sopa de cogumelo dourada","Castanhas de água","CHEDDAR QUEIE"]
1432;Shrimp Rice;["camar�o","bacon","cebola","aipo","farinha","molho de worcestershire","margarina","arroz"]
1433;Tuna Cheese Spread;["Queijo Cottage","Cream Cheese","atum","molho de worcestershire","paprika","cebola","salsa"]
1434;Chicken Casserole;["frango","creme de sopa de cogumelos","creme azedo","caldo de galinha","pilha","margarina","semente de papoula"]
1435;Microwave Peanut Brittle;["açúcar","xarope","baunilha","manteiga","bicarbonato de sódio","amendoim"]
1436;Schoolhouse Peanut Butter Cookies;["açúcar mascavo","açúcar branco","manteiga de amendoim","ovos","farinha","refrigerante","sal","leite doce","baunilha"]
1437;Chicken Casserole;["peitos de frango","creme azedo","creme de sopa de cogumelos"]
1438;Easy Rolls;["leite","água","levedura","óleo","sal","manteiga","açúcar","farinha"]
1439;Fruit Salad;["maçãs","laranjas","uvas","bananas","abacaxi","enchimento de torta de cereja"]
1440;Hot Tomato Hamburger With Rice;["carne moída","arroz","sal","ro-tel tomates","pimentão verde","cebola","óleo vegetal"]
1441;Double Chocolate Cookie Bars;["cookies","Margarina","Chips de chocolate semi-doce","leite condensado","baunilha","nozes"]
1442;Hot Spiced Wassail;["cidra de ma��","suco de cranberry","açúcar","suco de laranja","Toda a pimenta da Jamaica","canela"]
1443;Aka Crispies;["Graham Crackers","açúcar  pecans  manteiga","margarina","amêndoas"]
1444;Lots Of Vegetable Soup;["magro Chuck Chuck","Caldo de frango","Ro-tel","tomates","pasta de tomate","feij�es verdes frescos","cenouras","Aipo","Batatas","arroz","alho","cogumelos","Tomilho","sage"]
1445;Creamy Pasta Salad;["Curly em forma de macarrão","Vale congelado combina��o de legumes","curativo"]
1446;Zebra Cooler;["caf� frio","sorvete de chocolate","xarope","chantilly"]
1447;Mildred Pardue'S Blue Ribbon Carrot Cake;["açúcar","Soda","fermento","farinha","canela","cenouras","ovos","wesson óleo","porcas"]
1448;Pork Shoulder Roast;["verygoodbro"]
1449;Swiss 'N Chicken Casserole;["Frango","Aipo","croutons","Queijo su��o","milagre","leite","cebola","sal","pimenta","nozes"]
1450;Green Goddess Mold;["limão","Bouillon de frango cubos","água fervente","molho de salada","corte espargos","aipo","pimentas verdes","suco de limão"]
1451;Hot Chicken Salad;["frango","sal","batatas fritas","aipo","molho de salada","cebolas","pecans","cogumelos","suco de limão","creme de sopa de galinha"]
1452;Italian Cream Cake;["Crisco","oleo","soda","baunilha","açúcar","ovos","farinha","buttermilk"]
1453;Tuna-Tater Tempters;["atum","ovo","aipo","pimiento","cebola","sal","alho p�","flocos de milho","sal"]
1454;Hot Ham And Cheese Sandwiches;["manteiga","cebola","sementes de papoula","Mostarda preparada","p�es","presunto","queijo su��o"]
1455;Summer Squash Casserole;["Ver�o","sopa","leite","queijo cheddar"]
1456;Fudge Marble Pound Cake;["Duncan","Baunilha Mistura de pudim instant�nea","óleo crisco","água","ovos"]
1457;Yogurt Chiffon Pie;["Cartons Yogurt"]
1458;Cheddar Potatoes;["Creme de sopa de cogumelos","Pepper","batatas","Queijo Cheddar"]
1459;Pocket Pizza;["Farinha","Leite","óleo de canola","fermento em pó","sal"]
1460;Spaghetti Pie;["espaguete","Margarina","parmesão","ovos","Queijo de casa","carne moída","cebola","pimenta verde","tomates","pasta de tomate","oregano","","sal de alho","queijo mussarela"]
1461;Apricot Cake;["açúcar","ovos","óleo de wesson","j�nior frascos damasco","farinha","bicarbonato de sódio","sal","canela"]
1462;Cabbage Soup;["peito de carne","água","tomates","repolho","sal","pimenta","alho p�","suco de limão","a�ucar"]
1463;Grandma'S Buttermilk Pie;["Margarina","açúcar","Farinha","ovos","baunilha","buttermilk","pecans"]
1464;Feelin' Energetic Cookies;["Oleo","açúcar mascavo  cenouras","ovo","suco de laranja","farinha de trigo inteiro","farinha","faring em p�","sal","canela","Sementes de girassol","açúcar"]
1465;John Ben Getty Casserole;["carne moída","cebola","pimenta verde","macarrão","milho de kernel inteiro","ervilhas","sopa de cogumelo","sal","queijo ralado"]
1466;Enchiladas;["carne moída","molho de taco","molho de enchilada","piment�es verdes","cheddar queijo","cebola","tortillas de milho"]
1467;Cowbelle Special;["carne moída","tomates","molho de bife","sopa de cogumelo","cotovelo macarrão","ketchup","Queijo","pimentas verdes"]
1468;Cream Of Corn;["milho","ovo","farinha"]
1469;Roman Holiday Casserole;["Macaroni","Margarina","cebola","bovina � terra","sal","pimenta","molho de tomate","molho de pimentão","queijo ralado"]
1470;Green Bean Bundles;["feijão verde","bacon","pimenta de limão"]
1471;Working Woman'S Salad;["Abacaxi","Abacaxi","Mandarin Laranjas","Cherry Torie enchimento"]
1472;Chili Con Queso Dip;["Ro-tel","queijo velveeta","cebola","jalapenos"]
1473;Broccoli And Cauliflower Casserole;["Inverno","creme de sopa de cogumelos","bisquick","mistura de queijo seco","sal","manteiga"]
1474;Layered Tuna Salad;["Milagre","mostarda","atum","dill","alface tritada","shell macaroni","tomates","pepino","ervilhas congeladas","bacon","queijo cheddar"]
1475;Chicken Divan Pot Pie;["Pet-Ritz Crostas de torta regulares","Oleo","Farinha","Pepper","caldo de frango","leite","queijo americano","frango","brócolis"]
1476;Earthquake Cake;["Nuts","Coconut","Margarina","Queijo creme","açúcar","bolo de chocolate"]
1477;Jim'S Breakfast Delight;["farinha","fermento em pó","sal","ovos","queijo cottage","milho","queijo cheddar","cebola verde"]
1478;Jello Cake;["mistura de bolo de abacaxi","limão","água","óleo","limão aromatizante","ovos"]
1479;Breakfast On A Bagel;["bagels","bacon","tomates","cheddar"]
1480;Apple Cobbler;["Margarina","Sugar","água","Farinha","Encaixe","Leite","maçãs","canela","nozes"]
1481;Goop - Cornstarch;["amido de milho","água","colora��o alimentar"]
1482;Russian Refresher Mix;["Bebida de laranja em p�","açúcar  canela","cravo � terra"]
1483;Broccoli Casserole;["manteiga","brócolis congelado","ovos","queijo cheddar","maionese","cebolas","creme de sopa de cogumelos","biscoitos"]
1484;Hello Dolly;["manteiga","cracker de Graham migalhas","Chips Chocolate","butterchot chips","pecans","coco","leite condensado"]
1485;Chocolate Zucchini Cake;["margarina","açúcar branco","cacau","ovos","óleo","farinha","fermento","sal","refrigerante","canela","leite","zucchini","nuts","baunilha"]
1486;Swedish Rye Bread;["levedura","água quente","Rye farinha","melaço","encurtamento","água fervente","farinha branca"]
1487;Salmon Bake;["bifes de salm�o","noz-moscada","ma�� verde"]
1488;Skillet Baked Beans;["carne de porco","bacon","pimenta verde","cebola","xarope","catsup"]
1489;Pineapple Pie;["Graham Cracker Crusts","Leite condensado","Recipientes","abacaxi","suco de limão","pecans"]
1490;Angel Delights;["Marshmallows","pretzels","cocktail amendoins","flocos de milho","latido de amêndoa"]
1491;Mixed Vegetable Bake;["Cream Cheese","Leite","Legumes mistos congelados","sal","pimenta","pur� de batatas quente","tomate"]
1492;Jack'S Delight;["pie de abacaxi enchimento","cream cheese","açúcar","baunilha","manteiga","pretzels","Pecan metades"]
1493;Chocolate Cream Log;["Farinha de bolo","fermento em pó","cacau","sal","ovos","açúcar","baunilha","água"]
1494;Chocolate Fudge Pie;["manteiga","cacau","açúcar  farinha","sal","ovos","baunilha","leite de estima��o","crosta"]
1495;Pineapple Casserole;["Abacaxi","açúcar","farinha","queijo","pack","manteiga"]
1496;Mexican Biscuit Casserole;["Rolls Crescent Refrigerator","Be carne moída","molho de taco","queijo cheddar"]
1497;Finger Jello;["água fervente","gelatina sem sabor"]
1498;Fred'S Chicken Or Turkey Casserole;["frango","aipo","cebola","suco de limão","queijo cheddar","milagre","amêndoas","flocos de milho","oleo"]
1499;Monkey Bread;["Biscoitos de latas","açúcar","canela","margarina"]
1500;Pretzel Candy;["Chocolate branco","pretzel varas","amendoins"]
1501;Salmon Party Ball;["cream cheese","salm�o","suco de limão","r�bano","fuma�a l�quida","cebola","sal","porcas","flocos de salsa"]
1502;Fancy Fried Green Tomatoes;["creme azedo","cebola verde","sal","ovos","todo o Propósito","endill erva","fimmeal","pimenta","tomates verdes","óleo vegetal"]
1503;Potluck Potatoes;["Frozen hash batata marrom","cebolas","sal","pimentada","paprika","creme de sopa de galinha","manteiga","queijo cheddar","creme azedo","flocos de milho"]
1504;Old-Fashioned Sweet-Sour Cole Slaw;["Repolho verde triturado","sal","açúcar","vinagre de cidra","creme de chicoteamento"]
1505;Peanut Brittle;["açúcar branco","água","manteiga","soda","branco karo","amendoins","sal"]
1506;Chicken Inspiration;["Peito de frango","cogumelos frescos","Queijo Provolona","ervas","ovos","leite","de frango bouillon p�","amêndoas","queijo parmesão","croutons / pão"]
1507;Down East Blueberry Cake;["manteiga","açúcar","ovos","leite azedo","mirtilos","farinha","soda","noz-moscada","sal"]
1508;Cranberry-Pecan Bars;["Farinha","açúcar","sal","Margarina","pecans","açúcar","ovos","sal","leite","baunilha","cranberries","coconut"]
1509;Stacked Twinkie Cake;["Coconut","Twinkies","abacaxi","pecans","bolo amarelo"]
1510;Jalapeno Cheese Squares;["Queijo su��o","queijo americano","queijo cheddar","ovos","jalapeno pimentas"]
1511;Almond Roca;["açúcar  manteiga","barras","nozes"]
1512;Potato Casserole;["batatas","creme azedo","Queijo creme","sal de alho"]
1513;Spaghetti Casserole;["Hamburger","cebola","Espaguete","Cream Cheese","sopa de tomate","leite  azeitonas"]
1514;Green Bean Cheesy;["feijão verde","alho p�","leite","creme de sopa de cogumelos","pimentão","farinha","margarina","VELVEETA QUEIE"]
1515;Macaroni Salad;["macarrão","Aipo","pimenta verde","azeitonas","pickles doces","sal","pimenta preta","açúcar","salada"]
1516;Easy Scalloped Potatoes;["batatas","sal","leite","cebola","sopa de queijo"]
1517;Salsa Sauce;["Tomates","cebola","alho do cravo","pimenta verde","pimenta quente","vinagre","Clear Jel","Sal","açúcar","pimenta","or�gano"]
1518;Wholesome Oatmeal Biscuits;["Farinha","fermento em pó","sal","açúcar mascavo","aveia","encurtamento","ovos","água"]
1519;Dumplings With Chives;["Farinha","fermento em pó","sal","cebolinha","leite","óleo vegetal"]
1520;Cornish Hens;["p�ssaros","marmelada laranja","açúcar mascavo","molho de worcestershire"]
1521;The Best Chocolate Chip Cookies;["manteiga","açúcar mascavo","açúcar branco","Vanilla","ovos","aveia","farinha","bicarbonato de sódio","faring em p�","sal","Chips"]
1522;Strawberry Bread;["manteiga","Sugar","extrato de amêndoa","ovos","farinha","fermento","bicarbonato de sódio","sal","morangos frescos"]
1523;Spoon Rolls;["levedura","água","manteiga","farinha","ovo","açúcar"]
1524;Beef� Beans And Dumplings;["bovina � terra","salsicha","cebola","alho do cravo","cogumelos","pinto","água","pimenta","biscoitos de geladeira","Parmesan queijo","Parsley"]
1525;Spaghetti Sauce;["pasta de tomate","cebola","sal","manteiga","cogumelos","bovino � terra"]
1526;Congo Square;["manteiga","ovos","Chocolate Chips","Farinha","Nozes","açúcar mascavo","fermento em pó"]
1527;Chicken Casserole;["peitos de frango","pão de milho recheio","creme de sopa de aipo","creme de sopa de galinha","margarina","leite","caldo de frango"]
1528;Blueberry Heaven;["Bolo","Torta de mirtilo enchimento","extrato de amêndoa"]
1529;Shortcut Rocky Road Candy;["butterchot chips","Chips de chocolate semi-doce","leite condensado","nozes","marshmallows"]
1530;Squash Casserole;["ovos","queijo ralado","pimentão","sal","margarina clara","migalhas de pão"]
1531;Cheese Dip;["Velveeta queijo","pimentão","creme de sopa de cogumelos","cebola","salsicha","leite","hamburger carne"]
1532;*Chocolate Pie*;["açúcar","cacau","sal","cornstarca","farinha","gema de ovo","leite","baunilha"]
1533;Zucchini Fruit Bread(Sugar-Free);["ovos","óleo","mel","zucchini","abacaxi","passas","farinha de trigo inteiro","farinha","Soda","Salt","Salt","canela","noz-moscada","nozes"]
1534;Easy Frozen Berry Jam;["Morangos","suco de uva branca","suco de limão","casca de limão","gelatina sem gosto","sal"]
1535;Butterfinger Dessert;["Graham Cracker migalhas","Boliscas salgadas migalhas","Margarina","Pudim instant�neo de baunilha","leite","sorvete de baunilha","butterfinger"]
1536;Chicken Noodle Soup Homemade;["ovos","Farinha","óleo","sal","galinha","sal","sal de alho","tempero de aves","cubos de caldo de frango"]
1537;Corn Pudding;["inteiro kernel milho","milho de estilo creme","ovos","açúcar","manteiga","farinha","leite"]
1538;Pear Half Salad;["Metades de pera","Cream Cheese","maionese","nozes","creme","açúcar"]
1539;Cranberry Cream Pie;["Pie Shells","Cream Cheese","molho de cranberry","topping chicoteado congelado","confeiteiro açúcar","chicoteado topping"]
1540;Ground Turkey Kebabs(Microwave);["Turquia � terra","cebola","pimenta verde","molho de tomate","molho de worcestershire","molho de soja","pimenta","tomates","tomates","cebola vermelha"]
1541;Meatballs For Spaghetti;["Cabe�a magra","aveia","leite","ovo","cebola","sal","farinha","paprika"]
1542;Buffalo Chicken Sandwiches;["Cayenne pimenta molho","manteiga","peitos de frango","p�es","tomate  curativo de queijo"]
1543;Baked Macaroni And Cheese;["macarrão","Sal","Leite","Queijo","pimenta","migalhas de pão","manteiga"]
1544;Sweet Nothings;["manteiga","manteiga de amendoim","Chips Chocolate","açúcar"]
1545;Ragout;["Lima feijão","ervilhas","cebola","Aipo","azeitonas recheadas"]
1546;Pepper Steak And Rice;["arroz cozido quente","carne magra","paprika","manteiga","alho","Caldo de carne","pimentas verdes","cornstarch","tomates"]
1547;Pumpkin Bread;["Farinha","açúcar","sal","bicarbonato de sódio  canela","noz-moscada","ovos","óleo","porcas"]
1548;Apple Crisp;["maçãs","água","farinha","canela de terra","açúcar","manteiga"]
1549;Buttermilk Pie 1;["manteiga","açúcar","Farinha","ovos","buttermilk","noz-moscada","baunilha","sal","casca de torta"]
1550;Mock Pizza Snack;["Cream Cheese","Salsicha a granel","Pimenta verde","Tortilla Chips","Salsa favorita","cebola","Queijo Provolona"]
1551;Cracker Snacks;["Oyster Backers","alho sal","limão pimenta","dill weed","vale escondido original molho","óleo"]
1552;Lasagna;["carne moída","cebola","oregano","Basil","alho p�","açúcar mascavo","verde","tomates","molho de tomate","pasta de tomate","macarrão lasagna","queijo cottage","ovo","queijo parmesão","mussarela queijo"]
1553;Cherry Winks Cookies;["Farinha","Double Acting Faring em p�","Bicarbonato de sódio","sal","encurtamento","açúcar","ovos","baunilha","leite"]
1554;Impossible Ham 'N Swiss Pie;["presunto","Queijo su��o","cebola verde","ovos","leite","bisquick assando mistura","sal","pimenta"]
1555;Tater Wedges With Cheese;["batatas","cabe�a alface","tomates","queijo nacho","farinha","sal","óleo"]
1556;Ham Casserole;["presunto","macarrão de ovo","creme de sopa de cogumelos","ovo","aipo","cebola","queijo americano","paprika","pimentão verde","pimentão","pimenta preta"]
1557;Irish Potato Cake;["açúcar","manteiga","ovos","buttermilk","soda  canela","passas","pecans  farinha","baunilha"]
1558;Honolulu Chicken;["óleo de cozimento","sem pele","Farinha","preserva","molho de churrasco","molho de soja","cebola","pimenta verde","castanhas de água","cenoura"]
1559;Lemon Bars;["lemon bolo mix","manteiga","ovo","queijo creme","açúcar","ovos"]
1560;Sweet Potato Casserole;["Batatas doces","noz-moscada  canela","sal","óleo vegetal","açúcar","açúcar mascavo","marshmallows","metades de pecan"]
1561;Blonde Brownies(Shirley Mckenzie);["Oleo","açúcar mascavo","Ovos","Farinha","sal","fermento","bicarbonato de sódio","chips de chocolate","baunilha"]
1562;Lemon Sauce;["açúcar","água fervente","suco de limão","cornstarca","manteiga","noz-moscada"]
1563;Mike'S Fried Rice;["arroz branco cozido no vapor","óleo vegetal","cebolas verdes","sobras","ovos","molho de soja","alho","gengibre � terra"]
1564;Shrimp Casserole;["cogumelos","manteiga","de tio benheco queijo cheddar","molho de cocktail","molho de worcestershire","camar�o min�sculo"]
1565;Better Than Sex Cake;["Mix de bolo","Pudim instant�neo de baunilha","creme azedo","chips de chocolate","chocolate doce","óleo","ovos","pecans"]
1566;Salmon Ball;["Salm�o","cream cheese","cebola","sal","suco de limão","r�bano","salsa"]
1567;Veal Parmesan;["riss�is de vitela","Mozzarella queijo","queijo regular","queijo cottage","alho","combinar","molho"]
1568;Corn Casserole;["Creme amarelo","Queijo Cheddar","Chilies verdes","cebola","leite","ovos","refei��o de milho amarelo","sal de alho","bicarbonato de sódio"]
1569;Quiche Lorraine;["Pastelaria","Bacon","Farinha","Queijo su��o","sal","noz-moscada","ovos","leite"]
1570;Green Fluff;["Abacaxi","iogurte","pudim"]
1571;Swiss Chicken;["peitos de frango","alho p�","Pepper","creme de sopa de galinha","erva temperada mistura de recheio","manteiga","queijo su��o"]
1572;Broccoli Cauliflower Salad;["brócolis","Couve-flor","Cebola vermelha","Queijo","bacon bits","milagre","n","vinagre"]
1573;Pepper Steak And Rice;["cebola verde","cogumelos","pimenta","molho de soja","arroz"]
1574;Crab Meat Bisque;["Creme de sopa de aipo","Leite","ba�a","brócolis","manteiga","Caranguejo"]
1575;Virginia'S Christmas Salad;["O","água fervente","nozes","aipo","molho de cranberry","creme azedo","Apple"]
1576;Cherry Dessert;["Graham Crackers","manteiga","Dream chicote","Cream Cheese","Cerejas"]
1577;Split Pea Soup;["Split Ervilhas","água","Alho","cebola","Cenouras","Folha de louro","Ham Hocks"]
1578;Quesadilla Party Wedges;["Tortilhas de farinha","Queijo","Chilies verdes","azeitonas pretas","abacatos","suco de limão"]
1579;Ground Beef 'N Biscuits;["carne moída","cebola","Farinha","sal","pimenta","molho de pizza","milho","buttermilk","cheddar queijo"]
1580;Sunday Fried Chicken;["Farinha","Tempero de aves","Paprika","cebola em p�","alho p�","sal","pimenta","ovos","leite","galinhas","óleo"]
1581;Day Ahead Banana Pudding;["Pudim de baunilha","Leite","creme azedo","leite condensado","bananas","wafers de baunilha"]
1582;Blue-Apple Pie;["Torta de mirtilo enchimento","maçãs finas","açúcar","farinha"]
1583;Raisin Sauce;["açúcar mascavo","Farinha","mostarda seca","água","vinagre","passas"]
1584;Bible Cake;["manteiga","ovos","fermento em pó","canela","sal","passas","manteiga"]
1585;Old-Timey Frosting;["Farinha","água","açúcar","encurtamento"]
1586;Pineapple Chicken;["frango","vinho branco","molho de worcestershire","caldo de galinha","estrag�o","abacaxi","mel"]
1587;Chicken Monterey;["peitos de frango","Sal de salada","Cebola verde","farinha","Catsup","Rosemary","galinha aromatizada","","Vagem"]
1588;Sour Cream 'N Dill Chicken;["frango","pimenta","creme condensado","sopa de cebola","south creme","suco de limão","endro fresco","cogumelos","paprika","macarrão de ovo"]
1589;Popcorn Balls;["Margarina","açúcar","baunilha","marshmallows","milho"]
1590;Fried Salt Pork With Gravy;["SAL BORDA","LEITE","farinha branca","sal"]
1591;Cows Milk For Kittens;["Leite","água","xarope de milho","gr�nulos de bouillon de carne"]
1592;Stuffed Mushrooms;["Cogumelos","óleo vegetal","água","salsicha","cebola","alho","espinafre congelado","queijo parmesão","ovo","migalhas"]
1593;Heavenly Onions;["Bermuda cebolas","Queijo su��o","pão","leite","manteiga","creme de sopa de galinha","molho de soja"]
1594;Top Secret Dressing;["Leite","vinagre","Queijo parmesão","Tempero italiano","óleo de salada","sal de alho"]
1595;Irish Soda Bread;["Farinha","Bicarbonato de sódio","manteiga","Buttermilk","açúcar","fermento","sal","passas","manteiga"]
1596;Surprises;["lombo de ch�o","cenoura","cebola","batata","sal","farinha","molho de worcestershire"]
1597;Ham And Cheese Americana;["Creme azedo","mayonnaise","mostarda seca","frio","queijo americano","azeitonas"]
1598;Baked Beans;["Bacon","cebola","açúcar mascavo","amido de milho","mostarda","catsup","porco"]
1599;Cranberry Relish;["Cranberries","Raisins","açúcar","água","gengibre  canela","cravo","Aipo","Apple"]
1600;3 Cheese Chicken Bake;["Lasagna macarrão","cebola","pimenta verde","margarina","creme de sopa de galinha","cogumelos","Basil","pimento","leite","chaleira","frango","galinha","queijo desfiado","queijo parmesão"]
1601;Cheese Manicotti;["Cebola","óleo de salada","molho de tomate","açúcar","Tomilho","sal","conchas","queijo de ricotta","queijo mussarela","salsa","salsley","dente de alho","tomates","água","oregano","folha de louro","ovos"]
1602;Easy Punch;["açúcar","água","suco de abacaxi","gengibre ale"]
1603;Corn Bread;["Refei��o de milho amarela","Farinha","açúcar","fermento","sal","oil","ovo"]
1604;Noodle Casserole;["presunto","creme pesado","pasta de tomate","gema","sal","pimenta","queijo parmesão"]
1605;Mushroom-Alfredo Sauce;["Margarina","Farinha","água","Bouillon de frango cubos","cogumelos","queijo parmesão"]
1606;Pina Colada Punch;["Pina Colada Sherbet"]
1607;Easy Cucumber Salad;["queijo cottage","pepino","cebola","maionese","vinagre","sal"]
1608;Margaret'S 7 Layer Cookies;["Oleo","Biscoitos de Graham","Chips Chocolate","batatas fritas","coco desfiado","nozes","leite condensado","Rice Crispies"]
1609;Mexican Cornbread;["refei��o","ovos","buttermilk","milho","oil","cebola","pimentão vermelho","pimentas quentes","queijo afiado"]
1610;Cranberry Sparkle;["suco de cranberry","suco de abacaxi","açúcar","extrato de amêndoa","ginger ale"]
1611;Double Fudge Brownie Bars;["Brownie Mix","Nozes","Chips de chocolate semi-doce","margarina","leite condensado","extrato de baunilha"]
1612;Jan Sherrill'S Shrimp Salad;["camar�o","pepinos","azeitonas pretas","salsa","cebolinha","suco de limão","azeite extra-virgem","cominho","sal"]
1613;Baked Stuffed Mushrooms;["Cogumelos","Qualquer vinho","migalhas de pão italiano","camar�o","manteiga"]
1614;Crock-Pot Pepper Steak;["óleo","alho","sal","pimenta","molho de soja","açúcar","brotos de feijão","tomates","pimentas verdes","cornstarca","verde","verde","cebola"]
1615;Chicken Pot Pie;["Pastelaria","Batatas","cenouras","Aipo","margarina","farinha","caldo de frango","pimenta","tempero de aves","frango"]
1616;Pecan Pie;["ovos","xarope","açúcar","sal","margarina","baunilha","pecans","concha"]
1617;Cheese Sticks;["New York State","manteiga","farinha","fermento","pimentão vermelho","sal"]
1618;Grasshopper Pie;["Cookies de Oreo","manteiga","Mint Chocolate Chip Sorvete","chocolate semi-doce","açúcar","manteiga","leite"]
1619;Beef Noodle Casserole;["bovina magra","queijo ralado","sal","açúcar","pimenta","manteiga","molho de tomate","macarrão de ovo","cebola","Queijo creme","creme azedo","Alho"]
1620;Raisin Pie;["Raisins","água","açúcar mascavo  canela","cornstarca","sal","vinagre","manteiga","pastelaria"]
1621;Fruit Scones;["farinha","açúcar","açúcar mascavo","cranberries","manteiga","chicotando creme"]
1622;Salsa Chicken;["peitos de frango","migalhas de pão","leite","salsa"]
1623;Cornbread;["fornema","farinha","açúcar","fermento em pó","sal","ovo","leite"]
1624;Catsup;["Tomates","sal","açúcar","vinagre","canela","mostarda moída","pimenta vermelha","especiarias misturadas","cornstarca"]
1625;Chocolate Chip Muffins;["Farinha branca","açúcar","fermento","sal","ovo","leite","óleo","chips de chocolate"]
1626;Worm Meat(Shredded Barbecue Beef);["Chuck assado","cebola","aipo","pimenta verde","água","alho","sal","ketchup","açúcar mascavo","vinagre","seco","Mostarda","pimentão p�","molho tabasco","folha de louro","alho p�","paprika"]
1627;Mississippi Mud Pie;["Frio","Pudim instant�neo de baunilha","caf� instant�neo","crosta de chocolate crocante","molho de fudge"]
1628;Mozzarella Chicken;["peitos de frango","manteiga  sal","queijo mussarela","farinha","ovo","migalhas de pão"]
1629;Grilled Ham Sandwich;["Cream Cheese","Mostarda","r�bano","fatias de pão integrador inteiro","Velveeta Pasteured Process Cheese Spread","Fatias de presunto","Parkay Margarine"]
1630;Best Ever Banana Bread;["manteiga","açúcar","ovos","creme azedo","sódio","baunilha","bananas","sal","farinha"]
1631;Mom'S Meat Loaf;["Mean Ground Beef","Boliscador de saltine migalhas","ovos","molho de tomate","cebolas","pimenta verde","sal","pimenta preta","marjoram","Tomilho"]
1632;Easy Caramel Frosting;["manteiga","açúcar mascavo","creme de chicoteamento","açúcar","baunilha"]
1633;Green Apple Punch;["suco de ma��","limonada congelada","Lei congelada  garrafas"]
1634;Golden Corn Bread;["Refei��o de milho amarela","farinha","açúcar","fermento em pó","ovo","leite","óleo l�quido"]
1635;Fat-Free Fudge Brownies(Yield: 16 Servings);["Farinha","Cacau em p�","açúcar","nozes","sal","Usweetened Applesauce","claras","extrato de baunilha"]
1636;Sausage Balls;["salsicha quente","queijo afiado","bisquick"]
1637;Flaky Pie Crust(Makes Two 9-Inch Crusts);["Farinha","crisco","sal"]
1638;Cheese Ring;["Queijo Cheddar","Pecans","Mayonnaise","cebola","dente de alho","Morango preserva"]
1639;Old Fashion Pound Cake;["açúcar","farinha","baunilha","ovos","sal","manteiga"]
